Timestamp,lat,long,speed,cadence,x,y
2021-04-05 23:18:05+00:00,-43.52441414259374,172.5720077008009,2.118,171.0,627037.5348821133,5179746.90479925
2021-04-05 23:18:13+00:00,-43.52421565912664,172.57220526225865,3.256,172.0,627053.9171533295,5179768.64676015
2021-04-05 23:18:19+00:00,-43.52407299913466,172.5723631773144,3.312,174.0,627066.9783493978,5179784.249453828
2021-04-05 23:18:21+00:00,-43.5240535531193,172.57242361083627,3.303,174.0,627071.9030405423,5179786.316818277
2021-04-05 23:18:27+00:00,-43.52405137382448,172.57268076762557,3.406,174.0,627092.6894458173,5179786.165954079
2021-04-05 23:18:29+00:00,-43.52403067052364,172.57273273542523,3.424,174.0,627096.9326393908,5179788.3858708525
2021-04-05 23:18:37+00:00,-43.52391583845019,172.57294446229935,3.452,172.0,627114.2842814181,5179800.8156585535
2021-04-05 23:18:43+00:00,-43.52371618151665,172.57298863492906,3.378,170.0,627118.2733835648,5179822.922196862
2021-04-05 23:18:53+00:00,-43.52362255565822,172.57301193661988,2.781,0.0,627120.3531354986,5179833.284741386
2021-04-05 23:18:57+00:00,-43.5235788859427,172.57305342704058,2.277,117.0,627123.7978815814,5179838.071321179
2021-04-05 23:19:04+00:00,-43.52337528951466,172.57312157191336,2.846,168.0,627129.732615482,5179860.578737762
2021-04-05 23:19:09+00:00,-43.52319289930165,172.573123248294,3.34,172.0,627130.2511898864,5179880.832564701
2021-04-05 23:19:16+00:00,-43.52300296537578,172.57311486639082,3.424,172.0,627129.9727460763,5179901.939574335
2021-04-05 23:19:29+00:00,-43.52282845415175,172.57301671430469,3.471,174.0,627122.4070821928,5179921.470926903
2021-04-05 23:19:30+00:00,-43.522804817184806,172.57303532212973,3.406,174.0,627123.9605271822,5179924.067626797
2021-04-05 23:19:38+00:00,-43.52284027263522,172.57321645505726,3.322,172.0,627138.5244024711,5179919.853073858
2021-04-05 23:19:43+00:00,-43.522996343672276,172.5733629707247,3.359,172.0,627150.0372704316,5179902.295753153
2021-04-05 23:19:49+00:00,-43.5230175498873,172.57363186217844,3.359,174.0,627171.723246744,5179899.529502207
2021-04-05 23:19:56+00:00,-43.52299466729164,172.57390863262117,3.424,175.0,627194.1386013749,5179901.647667772
2021-04-05 23:20:02+00:00,-43.52296038530767,172.57417710497975,3.48,175.0,627215.907320495,5179905.044474573
2021-04-05 23:20:08+00:00,-43.52288310416043,172.57443769834936,3.471,174.0,627237.1297126729,5179913.228781813
2021-04-05 23:20:14+00:00,-43.522829124704,172.57467825897038,3.452,172.0,627256.6842100513,5179918.855769143
2021-04-05 23:20:30+00:00,-43.522779336199164,172.57493181154132,1.465,113.0,627277.2798809657,5179923.9973704005
2021-04-05 23:20:48+00:00,-43.52280205115676,172.57519257254899,1.297,107.0,627298.3056524164,5179921.075590504
2021-04-05 23:20:56+00:00,-43.52298393845558,172.57535425946116,1.558,173.0,627310.9898836693,5179900.627594222
2021-04-05 23:21:02+00:00,-43.52312223985791,172.57553966715932,2.351,172.0,627325.68272097,5179884.9839427015
2021-04-05 23:21:08+00:00,-43.52316507138312,172.575787268579,2.547,170.0,627345.6025366092,5179879.847994996
2021-04-05 23:21:14+00:00,-43.52308007888496,172.576059428975,2.79,174.0,627367.7760434852,5179888.870611004
2021-04-05 23:21:20+00:00,-43.522918559610844,172.57623955607414,2.995,172.0,627382.6729734147,5179906.533221647
2021-04-05 23:21:26+00:00,-43.52272535674274,172.5762473512441,3.098,172.0,627383.7095551742,5179927.978534343
2021-04-05 23:21:32+00:00,-43.522511534392834,172.57622631266713,3.172,174.0,627382.4593093817,5179951.758017841
2021-04-05 23:21:38+00:00,-43.52231648750603,172.5762019213289,3.219,170.0,627380.8985792882,5179973.457418117
2021-04-05 23:21:44+00:00,-43.52210434153676,172.57618884555995,3.266,172.0,627380.2883036551,5179997.03852494
2021-04-05 23:21:49+00:00,-43.521924801170826,172.57614911533892,3.35,175.0,627377.455277039,5180017.039246904
2021-04-05 23:21:54+00:00,-43.521739561110735,172.57604685612023,3.331,174.0,627369.5808218156,5180037.768727915
2021-04-05 23:21:59+00:00,-43.521602768450975,172.57585499435663,3.415,174.0,627354.3629546466,5180053.25478644
2021-04-05 23:22:04+00:00,-43.521490870043635,172.57564117200673,3.368,172.0,627337.3178505676,5180066.009654239
2021-04-05 23:22:09+00:00,-43.52156597189605,172.57542064413428,3.424,174.0,627319.337417181,5180058.006361599
2021-04-05 23:22:14+00:00,-43.521716594696045,172.57527119480073,3.574,174.0,627306.9425489089,5180041.5068296455
2021-04-05 23:22:19+00:00,-43.52190627716482,172.5752478092909,3.714,175.0,627304.6536603125,5180020.476352266
2021-04-05 23:22:24+00:00,-43.522094367071986,172.57527010515332,3.835,174.0,627306.059938807,5179999.55283081
2021-04-05 23:22:29+00:00,-43.52229142561555,172.57527546957135,3.91,174.0,627306.0790059895,5179977.659158735
2021-04-05 23:22:34+00:00,-43.52247716858983,172.5752882938832,3.966,172.0,627306.7247471273,5179957.010783731
2021-04-05 23:22:45+00:00,-43.522583870217204,172.57529684342444,2.426,172.0,627307.1912603439,5179945.147339326
2021-04-05 23:22:49+00:00,-43.52256836369634,172.57530489005148,2.445,0.0,627307.8741702107,5179946.857189115
2021-04-05 23:22:52+00:00,-43.52256283164024,172.5753096677363,2.454,0.0,627308.2719185054,5179947.464270847
2021-04-05 23:22:55+00:00,-43.52257481776178,172.57531402632594,2.342,117.0,627308.5989508294,5179946.126412623
2021-04-05 23:22:59+00:00,-43.52258646860719,172.57531058974564,2.015,0.0,627308.2967152251,5179944.837721175
