Segment Name,Activity ID,Starting Latitude,Starting Longitude,Ending Latitude,Ending Longitude
West Side of South Mavora Lake,1495124416,-45.316144,168.179085,-45.277179,168.170185
Riverside Run,1552372284,-45.03232,168.745015,-45.03231,168.74505
