Follower Athlete ID,Follow Status,Created At
21505904,Accepted,"Jun 3, 2022, 8:30:18 PM"
47892460,Accepted,"Jun 7, 2022, 6:09:48 AM"
18335312,Accepted,"Jun 7, 2022, 6:50:34 AM"
7541719,Accepted,"Jun 7, 2022, 8:34:02 AM"
84737853,Accepted,"Jun 17, 2022, 4:40:34 AM"
81512156,Accepted,"Jul 15, 2022, 4:01:19 AM"
41629357,Accepted,"Jul 18, 2022, 10:58:07 AM"
75685188,Accepted,"Jul 22, 2022, 2:32:57 AM"
61898289,Accepted,"Aug 11, 2022, 6:12:11 AM"
91176475,Accepted,"Aug 13, 2022, 6:38:55 AM"
7999470,Accepted,"Aug 15, 2022, 10:01:07 AM"
91130181,Accepted,"Aug 18, 2022, 6:24:48 AM"
26131338,Accepted,"Aug 18, 2022, 6:27:14 AM"
86844170,Accepted,"Aug 23, 2022, 9:39:26 PM"
13911219,Accepted,"Aug 25, 2022, 1:05:49 PM"
37577312,Accepted,"Aug 30, 2022, 7:09:48 AM"
22550105,Accepted,"Sep 11, 2022, 5:05:56 AM"
18533133,Accepted,"Sep 13, 2022, 3:06:03 AM"
91034969,Accepted,"Sep 16, 2022, 9:44:51 PM"
19142691,Accepted,"Sep 17, 2022, 1:39:03 AM"
7047986,Accepted,"Sep 17, 2022, 2:04:46 AM"
36628860,Accepted,"Sep 25, 2022, 6:21:13 PM"
108507674,Accepted,"Sep 25, 2022, 10:41:45 PM"
93699116,Accepted,"Sep 27, 2022, 9:42:50 AM"
46885387,Accepted,"Sep 29, 2022, 4:33:18 AM"
23171812,Accepted,"Sep 29, 2022, 5:31:13 AM"
97875639,Accepted,"Sep 29, 2022, 6:04:28 AM"
43150185,Accepted,"Sep 29, 2022, 7:12:41 PM"
97876334,Accepted,"Sep 29, 2022, 8:34:13 PM"
3688660,Accepted,"Oct 2, 2022, 5:44:48 AM"
81108146,Accepted,"Oct 11, 2022, 8:29:22 AM"
28500937,Accepted,"Oct 13, 2022, 10:30:50 AM"
11211943,Accepted,"Oct 16, 2022, 7:11:36 AM"
33362662,Accepted,"Oct 31, 2022, 7:59:37 AM"
32976158,Accepted,"Nov 9, 2022, 10:10:04 PM"
4250804,Accepted,"Nov 14, 2022, 2:09:29 PM"
43380828,Accepted,"Nov 26, 2022, 4:19:09 AM"
65450460,Accepted,"Nov 29, 2022, 9:55:00 PM"
4274430,Accepted,"Nov 30, 2022, 9:53:44 PM"
59987886,Accepted,"Dec 8, 2022, 9:10:54 PM"
83675451,Accepted,"Dec 10, 2022, 3:02:42 AM"
5631348,Accepted,"Dec 12, 2022, 8:58:41 PM"
20941035,Accepted,"Dec 15, 2022, 10:06:14 AM"
22675772,Accepted,"Jan 29, 2023, 12:46:02 AM"
75015922,Accepted,"Mar 1, 2023, 11:04:49 PM"
