Comment Date,Comment
"Jun 13, 2020, 5:37:32 AM","[strava://athletes/11641409/13]Sarah Douglas Well I said around the gardens, which is less distance than Sunshine Bay so..."
"Jun 16, 2020, 6:54:54 PM",It had to be done
"Jun 21, 2020, 2:39:35 AM",Did you get any course records?
"Jul 1, 2020, 12:06:27 AM",Is that a PB?
"Jul 4, 2020, 6:15:42 AM",Just eh
"Jul 10, 2020, 9:02:33 AM","Hmm, maybe I need to eat some more"
"Jul 11, 2020, 10:15:14 PM",[strava://athletes/3569575/14]James Harcombe Good job I’m in Christchurch... 
"Jul 16, 2020, 8:09:41 AM",I think the term is... “harden up”?
"Jul 16, 2020, 8:07:14 PM",How did you know :(
"Jul 23, 2020, 6:58:35 PM",Not so good indeed
"Jul 23, 2020, 7:03:22 PM","Alright, I’ve spent the past few days stretching it like crazy"
"Jul 30, 2020, 5:01:06 AM","Huh, didn’t know they sold brown ones"
"Sep 16, 2020, 9:28:34 AM","Eh, everything is relative "
"Sep 26, 2020, 4:28:39 AM","Absolutely, I’m trying to do 10,000m a week"
"Oct 18, 2020, 7:49:38 AM",I jolly well hope you didn’t pick them up by the toe
"Oct 22, 2020, 11:53:53 PM","Absolutely! Woah, that’s awesome!"
"Oct 25, 2020, 8:12:56 PM",What the...
"Nov 19, 2020, 7:01:58 PM","Haha yeah, but for the summer "
"Nov 19, 2020, 7:02:02 PM",Back*
"Nov 25, 2020, 10:05:49 AM",Tragic. I didn’t even ask him to write me into his will
"Dec 3, 2020, 5:34:24 AM","Yeah sadly. Don’t worry, won’t make it again"
"Jan 3, 2021, 5:17:14 AM","Just take it, from what I can see that’s a very impressive run, killer run over challenging terrain"
"Feb 5, 2021, 6:28:11 PM",When do we get the top half?
"Feb 7, 2021, 12:26:32 AM",[strava://athletes/15695040/17]Colin Kirkpatrick I’ll hold you to that 
"Feb 11, 2021, 8:26:50 AM","Yeah, surprised I got 6m "
"Feb 21, 2021, 7:43:25 AM",Well I can assure you I was there haha. Are you up in Christchurch?
"Feb 21, 2021, 5:49:01 PM",Nice! I would join you but I should probably go to lectures...
"Mar 1, 2021, 5:50:39 PM",Will do
"Mar 30, 2021, 6:51:19 PM","Haha of course, there’s plenty more excuses to come too"
"May 12, 2021, 6:46:49 PM",Mostly!! Thanks
"May 13, 2021, 9:24:50 PM","Too fast, would have broken the world record if it was legit. Must be in a car"
"Aug 21, 2021, 2:51:16 AM","Yeah, it’s pretty neat!!"
"Aug 31, 2021, 5:50:41 AM","Yeah, I thought I’d enter it for fun"
"Aug 31, 2021, 6:11:27 AM","Yeah, pretty impressive!! He’s going to feel really silly when I beat his record as well"
"Aug 31, 2021, 7:59:01 AM",Ahhhh I knew I couldn’t hide it forever!
"Sep 3, 2021, 7:54:57 AM","Yeah, must be a problem with the new watch :/"
"Oct 7, 2021, 8:40:50 PM",That’s what they all say
"Oct 18, 2021, 6:20:00 AM","Oops sorry, was meant to be “trying desperately to keep up with Luke,” I’ll change it soon"
"Oct 24, 2021, 5:26:35 AM",Not quite sure how that happened!
"Oct 25, 2021, 7:59:10 AM",https://www.strava.com/activities/6147157869
"Nov 2, 2021, 6:47:44 PM","No, just borrowing a flat mates haha"
"Nov 20, 2021, 5:48:06 AM",Absolutely! Yeah he’s pretty good 
"Nov 20, 2021, 11:48:18 PM",Nice one!!!
"Nov 20, 2021, 11:50:43 PM",Nice one!!
"Nov 21, 2021, 2:21:42 AM",It only took me 2 years to find them
"Nov 24, 2021, 5:53:47 PM","Wow, that’s pretty quick"
"Nov 28, 2021, 4:49:37 AM",Likewise!
"Dec 12, 2021, 12:50:14 AM",Thanks Chris!
"Dec 26, 2021, 3:11:41 AM","Haha not quite, Saucony Endorphin Pro 2s"
"Jan 13, 2022, 5:09:58 AM",Good to see you too!
"Jan 30, 2022, 12:37:37 AM","Just track, trying to get my fitness up 😄"
"Feb 5, 2022, 9:41:43 AM",Thanks!!
"Feb 9, 2022, 7:27:53 AM",Impressive
"Feb 18, 2022, 6:37:07 PM",Thanks man!!
"Feb 18, 2022, 9:26:42 PM",That’s the plan!!
"Feb 20, 2022, 6:22:52 AM",Incredible work!!!!!
