Following Athlete ID,Follow Status,Created At
13725750,Accepted,"Oct 31, 2021, 12:58:32 AM"
28167994,Accepted,"Nov 3, 2021, 9:38:52 PM"
93962705,Accepted,"Nov 12, 2021, 12:51:03 AM"
75685188,Accepted,"Nov 15, 2021, 7:52:26 AM"
49219817,Accepted,"Dec 2, 2021, 6:22:33 AM"
4933032,Accepted,"Dec 15, 2021, 7:06:40 AM"
37704874,Accepted,"Dec 17, 2021, 9:03:29 PM"
6869012,Accepted,"Dec 17, 2021, 9:03:34 PM"
511411,Accepted,"Jan 13, 2022, 2:56:54 AM"
3331978,Accepted,"Jan 20, 2022, 1:50:48 AM"
40637178,Accepted,"Jan 21, 2022, 9:58:28 PM"
37159977,Accepted,"Feb 6, 2022, 2:33:11 AM"
10123390,Accepted,"Mar 12, 2022, 4:04:37 AM"
37424048,Accepted,"Apr 8, 2022, 11:17:15 PM"
15285440,Accepted,"Apr 9, 2022, 12:04:02 AM"
5553529,Accepted,"Apr 27, 2022, 10:07:32 PM"
30447836,Accepted,"Apr 30, 2022, 4:34:46 AM"
41184822,Accepted,"May 1, 2022, 9:05:50 AM"
48614992,Accepted,"May 18, 2022, 11:15:21 PM"
100381624,Accepted,"May 25, 2022, 8:12:15 AM"
66598238,Accepted,"May 29, 2022, 4:05:45 AM"
21505904,Accepted,"Jun 2, 2022, 8:27:17 PM"
21307644,Accepted,"Jun 4, 2022, 2:12:42 AM"
18335312,Accepted,"Jun 7, 2022, 2:47:13 AM"
47892460,Accepted,"Jun 7, 2022, 6:25:16 AM"
7541719,Accepted,"Jun 7, 2022, 8:38:53 AM"
84737853,Accepted,"Jun 17, 2022, 4:49:26 AM"
99361998,Accepted,"Jun 18, 2022, 8:12:38 PM"
3472134,Accepted,"Jun 21, 2022, 8:42:38 AM"
81512156,Accepted,"Jul 15, 2022, 5:49:21 AM"
41629357,Accepted,"Jul 18, 2022, 8:38:22 PM"
61898289,Accepted,"Aug 11, 2022, 8:56:41 AM"
91176475,Accepted,"Aug 13, 2022, 6:40:53 AM"
7999470,Accepted,"Aug 15, 2022, 8:17:35 PM"
27374978,Accepted,"Aug 18, 2022, 5:53:33 AM"
91130181,Accepted,"Aug 18, 2022, 6:26:15 AM"
26131338,Accepted,"Aug 18, 2022, 6:28:46 AM"
86844170,Accepted,"Aug 23, 2022, 9:50:03 PM"
37577312,Accepted,"Aug 30, 2022, 7:11:46 AM"
16907100,Accepted,"Sep 5, 2022, 12:24:54 AM"
22550105,Accepted,"Sep 11, 2022, 5:36:48 AM"
91034969,Accepted,"Sep 16, 2022, 11:48:59 PM"
7047986,Accepted,"Sep 17, 2022, 2:54:04 AM"
5297578,Accepted,"Sep 22, 2022, 6:18:20 AM"
